ID,supplier_ID,period,department,evaluator,qualityScore,deliveryScore,priceScore,responseScore,overallScore,overallCriticality,comment,status
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a15,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f05,2026Q1,製造部,鈴木一郎,2,2,4,2,2.5,1,改善計画を提出させたが進捗が見られない。警告レベル。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a16,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f06,2025Q3,購買部,佐藤花子,5,4,3,5,4.3,3,半導体の品質と供給安定性が優秀。戦略的パートナー候補。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a17,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f06,2025Q4,品質管理部,田中太郎,4,5,3,4,4.0,3,製品検査合格率99.5%。歩留まりも業界トップクラス。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a18,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f06,2026Q1,製造部,鈴木一郎,5,4,4,5,4.5,3,新製品対応も迅速。技術提案力が高い。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a19,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f07,2025Q3,物流部,高橋健二,3,4,5,3,3.8,2,東南アジア最安値クラス。品質は許容範囲内。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a20,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f07,2025Q4,購買部,佐藤花子,3,3,5,4,3.8,2,コスト優位性は維持。天然ゴム相場変動への対応力を確認。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a21,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f07,2026Q1,品質管理部,田中太郎,4,4,4,3,3.8,2,品質管理体制が改善傾向。ISO認証取得に向けた取組中。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a22,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f08,2025Q3,品質管理部,田中太郎,4,5,3,4,4.0,3,金属加工精度が高い。小ロット対応も可能。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a23,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f08,2025Q4,製造部,鈴木一郎,5,4,3,5,4.3,3,緊急発注への対応が非常に迅速。技術力も高い。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a24,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f08,2026Q1,購買部,佐藤花子,4,5,4,4,4.3,3,国内サプライヤーとして安定感抜群。長期契約を検討中。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a25,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f09,2025Q3,購買部,佐藤花子,2,2,5,3,3.0,2,低コストだが品質管理体制に不安。品質監査を実施予定。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a26,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f09,2025Q4,物流部,高橋健二,3,2,5,2,3.0,2,輸送中の破損が2件発生。梱包改善を要求。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a27,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f09,2026Q1,品質管理部,田中太郎,2,3,4,3,3.0,2,梱包は改善されたが不良率は依然として高め。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a28,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f10,2025Q3,品質管理部,田中太郎,5,5,3,5,4.5,3,光学部品で世界最高水準。技術力は圧倒的。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a29,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f10,2025Q4,購買部,佐藤花子,5,5,4,5,4.8,3,新規レンズ製品の共同開発を開始。パートナーシップ強化。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a30,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f10,2026Q1,製造部,鈴木一郎,5,4,3,4,4.0,3,品質は安定。リードタイム短縮の取り組みに期待。,Submitted
